name,type,ra,dec,standard_type,seasonal_start,seasonal_end,calibration_type
L92,SIDEREAL,13.83912495,+0.76486111,photometric,8,11,IMAGER
SA93,SIDEREAL,28.71708,+0.76181,photometric,9,12,IMAGER
L94,SIDEREAL,44.5887255,+1.184858333,photometric,10,12,IMAGER
L95,SIDEREAL,58.2189165,-0.01496,photometric,11,1,IMAGER
SA95,SIDEREAL,58.76535,+0.05742,photometric,11,1,IMAGER
RU149,SIDEREAL,111.06405,-0.54664,photometric,12,3,IMAGER
SA101,SIDEREAL,148.7166,-0.38300,photometric,2,4,IMAGER
SA103,SIDEREAL,179.2083,-0.45000,photometric,3,5,IMAGER
SA104,SIDEREAL,190.4347458,-0.475402777,photometric,4,6,IMAGER
SA107,SIDEREAL,234.7039417,-0.575541666,photometric,5,8,IMAGER
SA108,SIDEREAL,249.2954958,-0.564730555,photometric,5,7,IMAGER
SA109,SIDEREAL,266.096,-0.38215,photometric,6,8,IMAGER
SA110,SIDEREAL,280.8436708,+0.452575,photometric,6,8,IMAGER
SA112,SIDEREAL,310.6509792,+0.23028333,photometric,7,9,IMAGER
L113,SIDEREAL,325.19745,+0.47642,photometric,8,10,IMAGER
SA114,SIDEREAL,340.4136042,+1.1694805,photometric,8,10,IMAGER
